repo	sha	label	fp_class	klass	added_loc	base_loc	note
csgaokun/vscode_claude	5fbb660b670b	TP		cross-file-chunk	qtcreator/hldplugin-src/src/plugins/{chartshell,radarshell,videoshell,cuascontrolshell}plugin/*.cpp:1-90		M5 shell-panel scaffolding: 4 plugins (chart/radar/video/cuascontrol) created in ONE commit, each plugin's panelfactories.cpp/panelwidget.cpp/plugin.cpp byte-identical after stripping the module name. plugin.cpp of chart vs video is a pure rename copy (empty diff after s/chart//,s/video//). Classic AI 4x copy-from-template.
danielraffel/pulp	b532a3949613edb6c6af3913e20f5111e94d6a5e	FP	idiom		core/view/src/design_binding_metadata.cpp:244-272		Cluster of one-line forwarding accessors 'std::optional<float> NativeBindingMetadata::thumb_width_value() const { return parse_float_opt(thumb_width); }' repeated per field (thumb_width/thumb_height/thumb_corner_radius/corner_radius/font_size...). Each is a trivial 1-statement getter forwarding to a shared helper — the textbook accessor idiom.
danielraffel/pulp	7b732f1624df251d4acf5d41b7a86e8a5a3c42c0	FP	whole-file		core/view/src/design_ir_json.cpp:1357-1570		Pure split refactor: 'refactor(view): split design_import.cpp JSON ser/de into design_ir_json.cpp (#3141)' MOVED serializer/parser blocks out of design_import.cpp into the new design_ir_json.cpp. The detector (at the later changelog-bot snapshot) reported verbatim cross-file dup between the two files, but the parse_* functions are now partitioned (each lives in only one TU) — it is a code MOVE, not residual duplication. The 'BASE' side reflects pre-split history / shared header-driven idioms, not a live second copy.
danielraffel/pulp	44c1c73b7f53d6dd05afc99ee6ee3828989c7095	FP	idiom		test/test_inspector.cpp:184-296		Catch2 test bodies share fixed setup-then-assert skeleton: 'View root; InspectorOverlay overlay(root); KeyEvent ke; ke.key=...; ke.is_down=true; REQUIRE(overlay.handle_key_event(ke)); REQUIRE(overlay.is_active());'. Only the KeyCode and the asserted predicate change across toggle/Escape/inactive/Z-loupe cases. The token-level n-gram overlap is high because the harness scaffolding repeats, but each case tests a distinct behavior.
danielraffel/pulp	2b9d6f5b219118314eb27ca47ab623fab8f59b27	TP		within-file-chunk	core/audio/platform/win/wasapi_device.cpp:313-326		capture_thread_func() prologue (SetThreadPriority + wait_handles[] + while(is_running) + WaitForMultipleObjects + WAIT_OBJECT_0+1/WAIT_TIMEOUT/error dispatch) copied near-verbatim from render_thread_func():224-243, then body diverges to packet-drain; deinterleave loop also shared idiom
danielraffel/pulp	9a908af0db5a3d132b284c7afd744c57fa1aae22	TP		within-file-chunk	core/view/src/widget_bridge.cpp:136-181		5 near-identical register_function("setX", [this](ArgumentList args){ id=get<string>(0); value=get<string>(1); v = id.empty()?&root_:widget(id); if(v) v->set_x(value); return Value(); }) blocks differing only in fn name + setter (setMaskSize/setAppearance/setObjectFit/setObjectPosition); JS-binding registration boilerplate
danielraffel/pulp	1eaad08e0d288bd775d1b31f623c84c2687b4fbc	TP		cross-file-chunk	tools/cli/install_paths_mac.cpp:135-159		which() PATH-scan helper (getenv(PATH) + path_str.find(':',start) split loop + fs::path(dir)/name candidate) re-implemented to avoid cli_common dependency; same loop as default_find_executable() in tools/cli/mac_runtime_validators.cpp:55-80 with renamed vars. Comment itself admits 'minimal lookup locally'
dasch-swiss/sipi	top	FP	other		src/cli/sipi.cpp vs (deleted) src/sipi.cpp		src/sipi.cpp was relocated to src/cli/sipi.cpp. BASE-side src/sipi.cpp is gone; the verbatim cross-file hits are the moved entrypoint vs its deleted original. One hit at line=0.04 is pure noise.
deltaeecs/CSR4MPI	top	FP	header-impl		include/MatrixMarketLoader.h vs src/MatrixMarketLoader.cpp; include/DistributedOps.h vs src/DistributedOps.cpp		Header/impl declaration-definition overlap: the .h declares (and partly inline-defines) functions whose signatures and template bodies reappear in the .cpp. The cross-file similarity is decl<->def, not copied logic.
deltahdl/deltahdl	84d87891f7d6f0e462b57121f6d82fb39beeb549	FP	idiom		src/simulation/eval_fileio.cpp:82-205, src/simulation/eval_systask.cpp (e040829: 70-423)		every system-call handler shares the same fixed signature 'static Logic4Vec EvalX(const Expr* expr, SimContext& ctx, Arena& arena)' plus a uniform guard prologue ('if (expr->args.empty()/size()<N) return MakeLogic4VecVal(arena, W, V); int fd=FdFromArg(...); FILE* fp=ctx.GetFileHandle(fd); if(!fp) return ...'). The bodies genuinely diverge (fgetc vs fseek vs ferror), but a token-window detector flags the shared 4-6 line dispatch-handler prologue as near-dup across many handlers.
deltahdl/deltahdl	6882f5d13ab6dceda12872d5371ac9d824ceb773	FP	data-table		src/simulator/coverage.h:58-123		the option/type_option structs (CrossTypeOption, CrossOption, CoverPointOption, CoverPointTypeOption, CoverGroupTypeOption) repeat the same field set with identical default initializers (weight=1; goal=100; at_least=1; comment=...; per the LRM §19.10 parallel option model). A near-dup detector flags the repeated field/initializer runs as cloned blocks.
deltahdl/deltahdl	30f611661246a6be805565507db8b9a3fe1edd07	TP		within-file-chunk	src/elaborator/elaborator_items.cpp:281-420 vs 631-760		two recursive AST walkers WalkExprIdents/WalkStmtIdents and CollectMemberAccess/CollectMemberAccessInStmt share identical 'if(!e)return; if(e->kind==X){out.push_back(e);} <recurse all child fields>' skeleton, only the matched ExprKind differs
deltahdl/deltahdl	84d87891f7d6f0e462b57121f6d82fb39beeb549	TP		within-file-chunk	src/simulation/eval_math.cpp:33-160		15+ unary math wrappers (EvalLn/Log10/Exp/Sqrt/Floor/Ceil/Sin/Cos/Tan/Asin/Acos/Atan/Sinh/Cosh...) mechanically copy-pasted: identical body, only the std:: call name changed per function
deramatamara/cppmusic	top	FP	idiom		src/audio/engine/DawEngine.cpp, src/plugins/PluginHost.cpp, src/ui/App.cpp (within-file)		JUCE app: repeated track getter/setter and component-setup patterns. The reported verbatim line ranges do not match on HEAD (stale offsets); spot-read shows perf-monitor vs track accessors -- different code, not a copy.
deskull-m/bakabakaband	c9cd49b534399f18e50d11b36c18d187c369f291	FP	data-table		src/achievement/achievement-definitions.cpp:1-2881		+2881 строк — это таблица данных достижений: однотипные записи { AT::ENUM, std::make_shared<AD>(AT::ENUM, "jp_name", "en_name", "jp_desc", "en_desc", AC::CATEGORY, ADiff::DIFFICULTY, points) }. Соседние записи почти идентичны по форме (8-аргументный record-литерал), различаются только строковыми/enum литералами — детектор видит within-file повтор блоков.
deskull-m/bakabakaband	7017bf895ee5c0e5f16083869f989004dd8be182	FP	idiom		src/alliance/alliance-nurgle.cpp:28-264		Новый подкласс AllianceNurgle (бог Хаоса Warhammer) рядом с уже существующими alliance-khorne/slaanesh/tzeentch. Детектор ловит одинаковый каркас класса: идентичные сигнатуры трёх методов (int X::calcImpressionPoint(PlayerType*) const, void X::panishment(PlayerType&), bool X::isAnnihilated()) + общий блок include (summon/effect/bad-status-setter). Тела при этом полностью разные: у khorne — учёт убийств демонов Khorne и r_akills, у nurgle — расчёт по stat_use[A_CON/STR/CHR], switch по prace, ступенчатый poison/cut. Это реальная отдельная логика на подкласс, не отредактированная копия.
deskull-m/bakabakaband	40765dc964b6279dff3dfd29ed8baa1d136ca0a9	TP		cross-file-chunk	src/birth/birth-select-patron.cpp:63-91		interpret_patron_select_key_move — клон interpret_personality_select_key_move из birth-select-personality.cpp: тот же switch '8'/'4'/'6'/'2' arrow-nav, та же pp_idx +-4/+-1 + bound-check логика, выпилены sex-check строки, MAX_PERSONALITIES->MAX_PATRON
deskull-m/bakabakaband	40765dc964b6279dff3dfd29ed8baa1d136ca0a9	TP		cross-file-chunk	src/birth/birth-select-patron.cpp:92-154		select_patron — клон select_personality/select_class loop-скелета: while(true)+inkey(), Q/S/space/'*'/A2I/upper-case ветки, birth_help_option(BirthKind::PATRON); подставлено PATRON/MAX_PATRON, весь файл birth-select-patron.cpp скопирован с соседнего birth-select-*.cpp и механически переименован
dilithion/dilithion	ab19ce99a0567c00be2a77d98a41370dce41f899	FP	idiom		src/test/rpc_small_cluster_tests.cpp:562-695		BOOST_AUTO_TEST_CASE waitfor* cases share a large verbatim setup scaffold (TempDbScope + CBlockchainDB::Open + ClusterChainFixture::Build + the CBlockIndex idx_persist / WriteBlock(WriteBlockIndex) block-construction block). Token/line detector sees ~30-line near-identical prologues across distinct test cases and flags within-file copy-paste, but the bodies are legitimately different scenarios (single waiter / timeout floor / notify wakes multiple threads) with different asserts.
dilithion/dilithion	3d8df628f1537dc5548fb277353192caaf3f5048	TP		within-file-chunk	src/digital_dna/trust_score.cpp:148-244		5 near-identical TrustScoreManager::on_* event handlers (heartbeat/block_relayed/sybil_challenge/_cleared/_upheld): each is lock-guard -> scores_.find -> return-if-missing -> build TrustEvent -> apply_event -> tweak one counter; only event.type, score_delta and trailing counter line differ
dilithion/dilithion	c6b664e187386461c3924d835e4fc5ff810508a1	TP		cross-file-chunk	src/node/dilithion-node.cpp vs src/node/dilv-node.cpp (66 identical added lines)		--reset-chain/--yes arg parsing, help-text block and static PersistRegistrationPoW() helper copied verbatim into both forked node entry points in one commit
dilithion/dilithion	e3100fd73187a421b1696ddd9107b3f7fde54326	TP		cross-file-chunk	src/node/dilithion-node.cpp vs src/node/dilv-node.cpp (84 identical added lines)		auto-DNA collection/registration + P2P propagation wiring duplicated across the two parallel node mains in a single commit
djeada/Lightpad	668b65cf4903dc1888f3ffc9ca63217ef86f8598	FP	idiom		App/run_templates/runtemplatemanager.cpp:222-283 (loadAssignmentsFromDir) vs :285-346 (saveAssignmentsToDir)		load/save mirror pair: same configDir/configFile derivation, same QJsonObject/QJsonArray field names ("file","template","customArgs","customEnv"), same iterate-and-map idiom. Shared identifiers and Qt-JSON idiom create high token overlap, but control flow is inverse (read-into-struct vs struct-into-write) so it is a serializer/deserializer idiom, not copy-pasted logic.
djeada/Lightpad	0e316a95d5a46040f4e7b45e8cec19adadf62200	FP	data-table		App/ui/uistylehelper.cpp:809-865 (primaryButtonStyle) vs 867-925 (secondaryButtonStyle) and ~20 sibling xStyle() methods		Each UIStyleHelper::xStyle() returns QString("<QtWidget> { ... }").arg(...).arg(...). Token stream is dominated by the identical Qt-stylesheet skeleton (selector + property keywords + %N placeholders + chained .arg()). A token/line detector sees ~70% shared tokens and flags them as clones, but the load-bearing payload (the CSS rules and which colors map to which placeholder) differs per method — it is a per-widget style data-table, not duplicated logic. Also each method exists as two overloads (Theme& legacy + ThemeDefinition& new) in this refactor, inflating apparent duplication.
djeada/Lightpad	668b65cf4903dc1888f3ffc9ca63217ef86f8598	TP		within-file-chunk	App/run_templates/runtemplatemanager.cpp:61-79 vs :103-118 vs :235-251		QFile open + readAll + close + QJsonDocument::fromJson + parseError-check block (~14 lines) copy-pasted verbatim across loadBuiltInTemplates / loadUserTemplates / loadAssignmentsFromDir in the same file
djeada/Lightpad	1db57a2506a4f107526b8a69d9424e876fad4a6c	TP		cross-file-chunk	App/syntax/gosyntaxplugin.cpp:33-110 vs App/syntax/rustsyntaxplugin.cpp:33-120 (and 8 more sibling plugins)		10 syntax plugins added at once: syntaxRules() keyword-loop scaffold + number/string/char/function/comment SyntaxRule blocks + multiLineBlocks() + keywords() are verbatim/near-verbatim copies across all plugins; only the keyword data-tables and a few language-specific rules diverge
djeada/Standard-of-Iron	003a0dc5addc	FP	data-table		render/entity/nations/{carthage,kingdom,roman}/horse_archer_renderer.cpp:1-58		Three 58-line per-nation wrapper files are 50/58 identical; the only differences are string equipment IDs ("bow_carthage" vs "bow_kingdom"), the saddle include/type, and the namespace. The 'code' is just a config-struct fill + one register call — a parameterized data record, not duplicated logic. #056 sees ~86% line overlap and flags it.
djeada/Standard-of-Iron	bab3c01c4d66	FP	data-table		render/equipment/armor/{roman,kingdom,carthage}_armor.cpp:1-55		Per-nation armor renderers (55 lines each, 35/55 identical) share the exact render() signature boilerplate and a config-struct fill; the only real divergence is tuned float constants (shoulder_width_scale, chest_depth_scale, waist_taper) and comments. AI emitted parallel parameterized renderers; structurally identical, semantically distinct armor profiles.
djeada/Standard-of-Iron	003a0dc5addc	TP		cross-file-chunk	render/entity/horse_archer_renderer_base.cpp:1-256 vs render/entity/horse_spearman_renderer_base.cpp:1-259		Two 256/259-line base renderer files added in one commit; 185 identical sorted lines (~72%), only mechanical Archer->Spearman + bow/quiver->spear/shield rename plus a few tuned scalar constants. Whole class skeleton (ctor sanitize logic, get_proportion_scaling, get_mount_scale, adjust_variation, get_variant, get_scaled_horse_dimensions, customize_pose) copied wholesale.
elisir80/Decodium-4.0-Core-Shannon	98f05bec642c4b20c621ca812390a0a825386f52	FP	idiom		DecodiumBridge.cpp setTargetCall{MaxRetries,TimeoutS,Period,PauseS}		Four numeric Qt property setters added together share the canonical Qt setter idiom: v = qBound(lo,v,hi); if (m_x != v) { m_x = v; emit xChanged(); QSettings().setValue("CallFeature/Key", v); }. Only the clamp bounds and the QSettings key string differ, so a token-level detector sees 4 near-identical 6-7 line blocks as within-file copypaste. This is mandatory NVI/property boilerplate, not extractable duplication.
elisir80/Decodium-4.0-Core-Shannon	a708c5fffa99d147a9e753948c92651d1bbbc954	FP	idiom		Network/RemoteCommandServer.cpp:4772-4811 (and sibling GET-route blocks)		Serial HTTP dispatch: each route handler is if (method==GET && route=="/x") { QByteArray response; body = gen(); response += "HTTP/1.1 200 OK\r\n"; + Content-Type + Cache-Control + Content-Length + Connection; write; disconnectFromHost; return; }. Consecutive route arms differ only in the route string, the body generator, the content-type and the cache header, so the fixed 5-line response-assembly tail repeats verbatim and trips within-file copy detection.
elisir80/Decodium-4.0-Core-Shannon	a708c5fffa99d147a9e753948c92651d1bbbc954	TP		within-file-chunk	Detector/FtxFt8Stage4.cpp:3979-3998 (copy of 3720-3739)		extern-C wrapper ftx_ft8_a7d_ref_c is a copy of ftx_ft8_a7d_c: identical 12-arg out-param signature plus identical null-check + sentinel-init preamble for msg37/nharderrors/dmin/xsnr; only the decode body diverges. Two near-twin Fortran-bridge entry points introduced together in this commit.
elisir80/Decodium-4.0-Core-Shannon	d501c0f7b624da51beaca77674e02da4a0c4a1e8	TP		within-file-chunk	Detector/MSK144DecodeWorker.cpp:2171-2223 (copy of 1549-1601)		53-line verbatim copy of three local lambdas (best_in_range / range_average / parabola_delta) plus their peak-pick/parabola-delta usage block, duplicated across two coarse/fine scan routines in the same file; should have been a file-scope helper. Both blocks added in this commit (new MSK144 worker).
emeryberger/Hoard	top	FP	idiom		src/include/hoard/thresholdheap.h (within); benchmarks/cache-thrash vs cache-scratch		Hoard allocator: thresholdheap.h has adjacent get/put threshold methods (mirror, 0.88). The benchmark pair (cache-thrash vs cache-scratch) are sibling microbenchmarks sharing the same harness skeleton by design (0.57).
ercasta/Clockstar-v2-Firmware	top	FP	idiom		main/src/Notifs/Bangle.cpp, main/src/Devices/IMU.cpp (within-file)		Watch firmware: repeated notification-parse and IMU-read blocks share structure (sensor poll + state update idiom).
esrrhs/fakelua	ace8cfd88f638f6e061f1846b85911e125dc85c5	FP	generated		src/compile/bison/parser.cpp, src/compile/bison/parser.h, src/compile/flex/scanner.cpp		Refactor commit re-touches bison/flex generated parser & lexer (parser.cpp/.h ~1380 lines churn, scanner.cpp). Generated parser tables and skeleton code share large boilerplate regions that a token detector reads as duplication.
esrrhs/fakelua	5a4e6fcfef326d549342b48fa2ac8f43aabda1da	FP	other		src/compile/c_gen.cpp (from src/compile/func_body_compiler.cpp, 1950 lines removed)		Reverse of 243bc39: 'merge FuncBodyCompiler into CGen' moves ~1950 lines back. Same net-move pattern; a cross-file detector would re-flag the same block as a copy in the opposite direction.
esrrhs/fakelua	243bc39907cbefbe39235458470fb6e4d50e4104	FP	other		src/compile/func_body_compiler.cpp:1-1768 (from src/compile/c_gen.cpp)		Pure SRP code-move refactor: 1961 lines deleted from c_gen.cpp, 1768 added verbatim to new func_body_compiler.cpp (FuncBodyCompiler::*). A naive cross-file chunk detector sees a huge moved block as 'copied between files'. Verified clean: the moved methods do NOT remain in c_gen.cpp afterward, so there is no live duplicate. Not flagged at HEAD, but this is the exact move-refactor that fools cross-file detection.
esrrhs/fakelua	6755aea43e51f6fde3e94758b458098f17c610af	FP	idiom		src/compile/syntax_tree.h:99-510		AST node-class hierarchy: ~20 'class syntax_tree_X final : public syntax_tree_interface' each with a structurally identical ctor 'explicit syntax_tree_X(const syntax_tree_location& loc) : syntax_tree_interface(loc) {}' and an identical-shape 'type() const override { return syntax_tree_type::syntax_tree_type_X; }'. Token/line similarity is high; only the type-enum token differs. This is the polymorphic-node / visitor idiom, not copy-paste debt.
esrrhs/fakelua	af96e19e339330c2262f8340ecc46f29a0ec742a	FP	generated		src/platform/tinycc/*.h and src/platform/prebuilt/win_x64/tinycc/include/*		'add tcc' vendors the TinyCC compiler: elf.h, dwarf.h, coff.h, arm-tok.h, i386-asm.h, tcc_libm.h etc. plus a prebuilt win_x64 copy of tcc headers. Cross-arch / prebuilt duplicates of vendored compiler headers look like copies between sibling dirs.
esrrhs/fakelua	36184984a05dc09e9e2376178f7f5ebdc6cafe44	TP		within-file-chunk	benchmark/benchmark_algo.cpp:455-942		Each algorithm gets 4 near-identical harness fns (BM_CPP_X / BM_Lua_X / BM_FakeLua_X_TCC / BM_FakeLua_X_GCC) replicated by hand across ~11 algorithms; the _TCC and _GCC variants are byte-identical except JIT_TCC vs JIT_GCC. ~22 within-file near-dup pairs. Could be one templated helper parameterised on jit-mode.
etkecc/komai	db42d210ba858a2e190d73347b9db0b7ffe5c078	FP	whole-file		src/cli/ThemeCommands.cpp -> src/cli/theme/* ; src/ui/RoomSettings.cpp -> src/ui/roomsettings/* ; src/db/InMemoryBackend.cpp -> src/db/inmemory/*		pure monolith-split refactor: code is MOVED (deleted from source .cpp, re-added verbatim in new focused .cpp files in same commit). A cross-file clone detector run on the post-commit tree would not fire (source gone), but a diff-mode/added-vs-base detector flags the added chunks as exact copies of the (now-deleted) base — false copypaste signal for what is a relocation
etkecc/komai	944a36c0ad90e003f74100cb370826090ea3fbb4	FP	data-table		src/emoji/Provider.cpp (16028 lines removed)		emoji 'rework' replaced a 16k-line hand/codegen-emitted emoji descriptor table (repeated struct initializers per emoji: name, unicode, shortcodes, group) with a generated/leaner provider; a token detector sees thousands of near-identical initializer rows as massive intra-file duplication
etkecc/komai	88cd998552d50e80c93cae27524be568eacbf930	FP	data-table		src/timeline/SlashCommands.cpp:279-... (kCommands std::array<CommandDefinition,38>)		38-entry static command registry; each entry is a near-identical {CommandId::X, "name", tr(...), flags} initializer. Token stream of consecutive entries is highly self-similar and will trip a windowed clone detector as repeated 5-10 line blocks
etkecc/komai	ee8aaa491c51c13976763a3a99c6d874e1ffcacf	FP	idiom		src/timeline/litehtml/LitehtmlContainer.cpp (document_container callbacks)		implementing litehtml::document_container forces a fixed family of small callbacks (draw_background, draw_borders, get_*_metrics, etc.) with the same QPainter setup/teardown preamble in each; the recurring boilerplate header of each override reads as a cloned block
etkecc/komai	3bef712fc9409943b5b416769026b9ea36cb3187	TP		within-file-chunk	src/timeline/RoomlistModel.cpp:826-857 (dataForInviteRoom) vs 860-893 (dataForPreviewRoom)		decompose-timeline split produced sibling role-switch fns with identical case-label skeleton; only LastMessage text and Is{Invite,Preview,Space} return values differ — copied switch body, should be table-driven
etkecc/komai	88cd998552d50e80c93cae27524be568eacbf930	TP		within-file-chunk	src/timeline/inputbar/InputBarCommands.cpp:46-58 (firstToken) vs 60-74 (remainingAfterFirstToken)		two helper fns added in same commit share identical trim+scan-whitespace skeleton; only the final return (left(end) vs mid(split)+second skip loop) differs — copy-then-tweak
fenrus75/powertop	7aaca6fa69a89df02e1162e120ae235fd274159d	FP	idiom		src/cpu/intel_cpus.cpp:745-820 (nhm_package/nhm_core/nhm_cpu collect_json_fields)		Three collect_json_fields overrides each are long runs of JSON_FIELD(x) macro lines. The macro names repeat across overrides (same dictionary of field-serialize tokens) so token similarity is high even though the actual field SETS differ (package c-states vs core c1/c3 vs cpu). Detector can over-weight the repeated JSON_FIELD token.
fenrus75/powertop	2495600904c239f1cca9864477556514d7ea68f2	FP	header-impl		tests/devices/device_stub.cpp:1-58 vs src/devices/device.cpp		Test stub re-implements production class methods (device ctor, register_sysfs_path, collect_json_fields) with the SAME signatures and small bodies to break the dependency chain for unit tests. A token detector sees matching signature lines + JSON_KV/JSON_FIELD idiom and flags it as a copy of the real impl, but it is a deliberate test double (different file root, tests/ tree).
fenrus75/powertop	7aaca6fa69a89df02e1162e120ae235fd274159d	TP		cross-file-chunk	src/cpu/cpu_rapl_device.cpp:81-89	src/cpu/dram_rapl_device.cpp:82-90	collect_json_fields() bodies byte-identical except class name: same parent call (cpudevice::collect_json_fields) + identical JSON_KV(last_time)/JSON_FIELD(last_energy,consumed_power,device_valid). Copy was INTRODUCED here (round1 attributed the pair to the later dedup-include commit 4f8f6d19, not to its real origin).
fenrus75/powertop	9daf37f362ff975da8f13115d12296783cc8e5b8	TP		within-file-chunk	src/gpu-tab.cpp:488-507	src/gpu-tab.cpp:252-275	report_gpu_stats() Frequency block duplicates the per-GT sysfs walk introduced 26 min earlier in show_frequency_section (commit 39221eb): identical for-tile/for-gt loop, identical paths freq0/{cur,min,max,rp0,rpn}_freq; only the sink differs (freq_row vector vs draw_progress_bar). partial-edited within-file copy.
fernandotonon/QtMeshEditor	db45d44dedc9c9004f7b665be928ff39127e85c0	FP	data-table		src/CLIPipeline.cpp:230-256 (kUiToAssimp / kExtToAssimp)		Two adjacent static QMap<QString,QString> literals (UI-label->assimp-id and extension->assimp-id) share the same right-hand assimp format ids ('fbx','collada','gltf2','glb2',...). Token stream is dominated by repeated QStringLiteral(...) pairs, so token-overlap looks like a duplicated block, but it is config/format-mapping data, not logic.
fernandotonon/QtMeshEditor	b19901cdae4cd2b4c75c9e269220f2faf5453b41	FP	idiom		src/MCPServer.cpp:336-640 (toolTransformSubMesh / toolSetSnapSettings / toolDuplicateEntity / toolExportPose)		Per-MCP-tool handler boilerplate: identical prologue (getSingletonPtr null-check -> makeErrorResult, args["entity_name"].toString() + isEmpty check, findEntityByName + 'not found' makeErrorResult) and the apply-loop shape 'if (args.contains("field")) { auto v = args[..]; setter(v); changes << QString(...).arg(v); }'. The shapes are mechanically the same across handlers, but each handler's semantic core (which setter / which validation) differs; this is the IRule-style one-handler-per-tool convention.
fernandotonon/QtMeshEditor	db45d44dedc9c9004f7b665be928ff39127e85c0	TP		within-file-chunk	src/CLIPipeline.cpp:1598-1620,1659-1681,1863-1885		Identical export branch (if isAnimOnlyInput -> exportAnimOnly / else refreshAvailableAnimationState + getParentSceneNode + MeshImporterExporter::exporter + Sentry+err) copy-pasted 3x into cmdAnim for resample/decimate/rename, differing only in the 'resample'/'decimate'/'rename' Sentry-message literal. Should be one helper exportEntityOrAnimOnly(entity, skel, outFi, opLabel).
fernandotonon/QtMeshEditor	476a4fb483399093fe7025dfdf2f786898000a37	TP		partial-edited	src/PS1/PS1TMD.cpp:317-470		TMD primitive-packet dispatch chain: each 'if (mode==0xNN && flag==N && ilen==N){ readU16le(d+offs); bounds-check (i<nVert && n<nNorm); appendTri/appendTriMatchWinding; continue; }' block is a copy of the previous handler with byte offsets and winding tweaked. Textured-tri handlers (0x24 vs 0x34 vs 0x25) and quad handlers (0x28 flag0 vs flag4) are near-clones — copy-edit, not parameterised by a layout table.
florinzgz/FULL-FIRMWARE-Coche-Marcos	5c9a89e8cf0562fc63f0dad89dd02a769d1203db	FP	idiom		src/hud/gauges.cpp / icons.cpp / wheels_display.cpp (RenderContext overloads)		Each pre-existing draw* method gained a RenderContext-taking overload that is a 3-line adapter: 'if(!ctx.isValid())return; bool changed=...; call the sprite version'. Across files these adapters look like cross-file copies because the guard prologue is verbatim, but the construct is a deliberate overload-shim family (one per existing method) added in a single migration step, not duplicated business logic.
florinzgz/FULL-FIRMWARE-Coche-Marcos	838e686d30fb9b0d181f95c36d6274b79c0a7f78	FP	idiom		src/hud/menu_power_config.cpp / menu_sensor_config.cpp / menu_led_control.cpp		All six new menu-screen .cpp files share the identical screen-lifecycle skeleton: a static bool needsRedraw flag, init()/update()/draw() with the 'if(!needsRedraw)return; needsRedraw=false;' header, handleTouch(), and drawActionButtons() rendering SAVE/RESET buttons. The detector sees high cross-file structural similarity on this lifecycle scaffold even though each draw()/handleTouch() body is genuinely different (different widgets, sliders vs toggles, different field set). It is a per-screen UI boilerplate convention (an implicit base-class shape), not transplanted logic.
florinzgz/FULL-FIRMWARE-Coche-Marcos	838e686d30fb9b0d181f95c36d6274b79c0a7f78	TP		within-file-chunk	src/core/eeprom_persistence.cpp:130-160		savePowerConfig/saveLEDConfig blocks are clones of saveEncoderConfig with putUShort/putUInt swapped and key strings changed; loadAll/saveAll/factoryReset also repeat the same 6-call success&=save/load list.
florinzgz/FULL-FIRMWARE-Coche-Marcos	838e686d30fb9b0d181f95c36d6274b79c0a7f78	TP		within-file-chunk	src/core/eeprom_persistence.cpp:34-60		save/loadEncoderConfig pair structurally copied 6x (Sensor/Power/LED/WiFi/General): begin(NS,false)/putX.../end and begin(NS,true)/{defaults}/getX.../end, only Preferences keys + struct fields renamed. This is the actual introducing commit; corpus flagged it at the c52beec merge.
florinzgz/FULL-FIRMWARE-Coche-Marcos	5c9a89e8cf0562fc63f0dad89dd02a769d1203db	TP		within-file-chunk	src/hud/gauges.cpp:214-266 (drawSpeed) vs 147-178 (drawRpm)		Phase 10 RenderContext overloads: each draw* method got a near-identical body 'if (!ctx.isValid()) return; bool changed = (lastX<0)||(fabs(v-lastX)>THR); ...call sprite version', only the field/threshold/sprite-call differ. Repeated for drawSpeed/drawRpm/etc within gauges.cpp; same skeleton also pasted into hud.cpp/icons.cpp/wheels_display.cpp (cross-file). Corpus flagged gauges.cpp at the merge SHA; this is the real introducer.
flyingsurveyor/RTKino	top	FP	idiom		src/main.cpp (within-file)		ESP32 firmware: src/main.cpp is one large sketch; the within-file hits are repeated WiFi/OLED/ESP-NOW setup blocks (AP-mode vs STA-mode init share structure). Reading the reported lines on HEAD shows unrelated functions (offsets are measured at the audited SHA), and similarity is mid (0.82-0.91) idiom.
fox1245/NeoGraph	3e9c9036d94d	TP		cross-file-chunk	examples/40_react_async_streaming.cpp:95-101,133-139		Скопированы блоки из examples/01_react_agent.cpp — типичный копипаст между примерами
fuddlesworth/PlasmaZones	c5f6c67393fe	FP	idiom		kcm/kcm_plasmazones.cpp:170-330 (getter cluster)		trivial one-line Qt property getters 'T KCMPlasmaZones::prop() const { return m_settings->prop(); }' repeated ~50x. Token detector with identifier normalization sees them as identical/near-identical chunks.
fuddlesworth/PlasmaZones	c5f6c67393fe	FP	idiom		src/autotile/algorithms/ColumnsAlgorithm.cpp + BSPAlgorithm.cpp + FibonacciAlgorithm.cpp + MasterStackAlgorithm.cpp (name/description/icon + registrar)		Strategy-pattern scaffolding repeated per algorithm class: AlgorithmRegistrar<X> s_xRegistrar(...) line, ctor : TilingAlgorithm(parent){}, and name()/description()/icon() one-liners returning QStringLiteral. Cross-file detector flags this per-class boilerplate even though the real calculateZones() bodies differ.
fuddlesworth/PlasmaZones	9a892dd9916a	FP	whole-file		src/daemon/daemon.cpp -> daemon_autotile.cpp/daemon_navigation.cpp/daemon_osd.cpp/daemon_signals.cpp		same monolith split pattern: daemon.cpp 1415->shrunk, methods moved into daemon_<topic>.cpp partials of class Daemon. Same move-not-copy false positive.
fuddlesworth/PlasmaZones	78ee9b04d2ce	FP	whole-file		src/editor/EditorController.cpp -> EditorController_*.cpp (10 TU files)		monolith->translation-unit split: EditorController.cpp 4234->427 lines, method bodies MOVED verbatim into _gaps/_layout/_zones/... partials of the same class. Cross-file detector matches each moved body against the shrunken original in the same diff and against the prior tree, reporting 'duplicate' for code that was relocated, not duplicated (at any single tree state only one copy exists).
